DATES,TIMES,FlOW,NO3N,NH4N,ORTHO,CL,SO4S,SIO2,HCO3,NA,K,CA,MG,TKN,S 
1982/07/26,12:00,0.4,5.50,,,,,,,,,,,,
1982/07/28,10:10,3.3,6.40,,,,,,,,,,,,
1982/07/29,12:40,1.03,9.70,,,,,,,,,,,,
1982/07/30,12:00,0.79,8.70,,,,,,,,,,,,
1982/08/02,12:20,0.59,6.80,,,,,,,,,,,,
1982/08/03,09:50,0.86,7.00,,,,,,,,,,,,
1982/08/04,08:11,0.67,7.20,,,,,,,,,,,,
1982/08/05,08:25,0.62,7.10,,,,,,,,,,,,
1982/08/06,09:33,0.52,6.80,,,,,,,,,,,,
1982/08/09,08:35,1.06,3.60,,,,,,,,,,,,
1982/08/10,08:55,3.15,12.10,,,,,,,,,,,,
1982/08/11,08:35,2.81,11.00,,,,,,,,,,,,
1982/08/12,08:00,1.76,10.80,,,,,,,,,,,,
1982/08/13,08:30,1.34,10.70,,,,,,,,,,,,
1982/08/16,10:05,0.92,9.40,,,,,,,,,,,,
1982/08/17,08:05,0.86,8.90,,,,,,,,,,,,
1982/08/18,10:15,0.86,,,,,,,,,,,,,
1982/08/19,09:05,0.73,8.60,,,,,,,,,,,,
1982/08/20,09:00,0.67,8.10,,,,,,,,,,,,
1982/08/23,09:00,0.62,7.80,,,,,,,,,,,,
1982/08/24,09:00,0.62,7.80,,,,,,,,,,,,
1982/08/25,09:15,8.58,5.50,,,,,,,,,,,,
1982/08/26,12:35,1.66,10.70,,,,,,,,,,,,
1982/08/27,08:18,1.39,10.90,,,,,,,,,,,,
1982/08/30,09:18,0.86,9.80,,,,,,,,,,,,
1982/08/31,09:50,0.79,,,,,,,,,,,,,
1982/09/01,08:41,0.76,,,,,,,,,,,,,
1982/09/02,08:42,0.76,,,,,,,,,,,,,
1982/09/03,09:49,1.14,,,,,,,,,,,,,
1982/09/07,08:17,0.62,,,,,,,,,,,,,
1982/09/08,08:37,0.62,,,,,,,,,,,,,
1982/09/09,09:02,0.62,,,,,,,,,,,,,
1982/09/10,09:35,0.59,,,,,,,,,,,,,
1982/09/13,08:47,0.49,,,,,,,,,,,,,
1982/09/14,08:21,0.47,,,,,,,,,,,,,
1982/09/15,09:07,0.49,,,,,,,,,,,,,
1982/09/16,08:30,0.49,,,,,,,,,,,,,
1982/09/17,08:48,0.49,,,,,,,,,,,,,
1982/09/20,09:40,0.42,,,,,,,,,,,,,
1982/09/21,11:02,0.4,,,,,,,,,,,,,
1982/09/22,08:25,0.67,,,,,,,,,,,,,
1982/09/23,09:40,1.26,,,,,,,,,,,,,
1982/09/24,14:40,0.62,,,,,,,,,,,,,
1982/09/27,13:50,1.34,,,,,,,,,,,,,
1982/09/28,12:55,0.92,,,,,,,,,,,,,
1982/09/29,08:39,0.89,,,,,,,,,,,,,
1982/09/30,08:33,0.82,,,,,,,,,,,,,
1982/10/01,10:50,0.76,,,,,,,,,,,,,
1982/10/04,08:48,0.62,,,,,,,,,,,,,
1982/10/05,08:24,0.57,6.00,,,,,,,,,,,,
1982/10/06,09:03,0.57,5.20,,,,,,,,,,,,
1982/10/07,08:47,0.54,4.80,,,,,,,,,,,,
1982/10/08,09:40,0.54,4.40,,,,,,,,,,,,
1982/10/12,09:42,0.45,4.30,,,,,,,,,,,,
1982/10/13,10:30,0.86,4.00,,,,,,,,,,,,
1982/10/14,09:10,0.86,4.20,,,,,,,,,,,,
1982/10/15,08:25,0.64,4.50,,,,,,,,,,,,
1982/10/18,09:42,0.45,,,,,,,,,,,,,
1982/10/19,08:39,0.45,4.20,,,,,,,,,,,,
1982/10/20,07:48,0.45,4.30,,,,,,,,,,,,
1982/10/21,09:12,0.64,3.80,,,,,,,,,,,,
1982/10/22,08:53,0.49,4.20,,,,,,,,,,,,
1982/10/25,09:22,0.42,4.40,,,,,,,,,,,,
1982/10/26,08:35,0.59,4.10,,,,,,,,,,,,
1982/10/27,08:32,0.49,4.20,,,,,,,,,,,,
1982/10/28,09:10,0.47,4.40,,,,,,,,,,,,
1982/10/28,09:30,0.47,,,,,,,,,,,,,
