"TM","FlOW","NO3N","NH4N","ORTHO","CL","SO4S","SIO2","HCO3","NA.","K","CA","MG","TKN","S"
1982-07-26,0.4,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-07-28,3.3,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-07-29,1.03,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-07-30,0.79,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-08-02,0.59,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-08-03,0.86,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-08-04,0.67,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-08-05,0.62,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-08-06,0.52,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-08-09,1.06,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-08-10,3.15,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-08-11,2.81,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-08-12,1.76,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-08-13,1.34,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-08-16,0.92,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-08-17,0.86,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-08-18,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-08-19,0.73,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-08-20,0.67,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-08-23,0.62,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-08-24,0.62,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-08-25,8.58,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-08-26,1.66,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-08-27,1.39,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-08-30,0.86,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-08-31,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-09-01,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-09-02,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-09-03,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-09-07,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-09-08,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-09-09,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-09-10,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-09-13,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-09-14,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-09-15,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-09-16,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-09-17,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-09-20,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-09-21,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
